1	الاتحاد الروسي
2	إثيوبيا
3	أذربيجان
4	الأرجنتين
5	الأردن
6	أرمينيا
7	أروبا
8	إريتريا
9	إسبانيا
10	أستراليا
11	إستونيا
12	إسرائيل
13	إسواتيني
14	أفغانستان
15	إكوادور
16	ألبانيا
17	ألمانيا
18	الإمارات العربية المتحدة
19	أنتيغوا وبربودا
20	أندورا
21	إندونيسيا
22	أنغولا
23	أنغيلا
24	أوروغواي
25	أوزبكستان
26	أوغندا
27	أوكرانيا
28	إيران (جمهورية - الإسلامية)
29	أيرلندا
30	آيسلندا
31	إيطاليا
32	بابوا غينيا الجديدة
33	باراغواي
34	باكستان
35	بالاو
36	البحرين
37	البرازيل
38	بربادوس
39	البرتغال
40	برمودا
41	بروني دار السلام
42	بلجيكا
43	بلغاريا
44	بليز
45	بنغلاديش
46	بنما
47	بنن
48	بوتان
49	بوتسوانا
50	بورتوريكو
51	بوركينا فاسو
52	بوروندي
53	البوسنة والهرسك
54	بولندا
55	بوليفيا (دولة - المتعددة القوميات)
56	بولينيزيا الفرنسية
57	بونير وسان يوستاتيوس وسابا
58	بيرو
59	بيلاروس
60	تايلند
61	تركمانستان
62	تركيا
63	ترينيداد وتوباغو
64	تشاد
65	تشيكيا
66	توغو
67	توفالو
68	توكيلاو
69	تونس
70	تونغا
71	تيمور - ليشتي
72	جامايكا
73	الجبل الأسود
74	جبل طارق
75	الجزائر
76	جزر البهاما
77	جزر تركس وكايكوس
78	جزر تشانل
79	جزر سليمان
80	جزر فارو
81	جزر فرجن البريطانية
82	جزر فرجن التابعة للولايات المتحدة
83	جزر فوكلاند (مالفيناس)
84	جزر القمر
85	جزر فوكلاند (مالفيناس)
86	جزر كايمان
87	جزر كوك
88	جزر مارشال
89	جزر ماريانا الشمالية
90	جزر واليس وفوتونا
91	جزيرة مان
92	جزيرة مايوت
93	جمهورية أفريقيا الوسطى
94	الجمهورية التشيكية
95	جمهورية تنزانيا المتحدة
96	الجمهورية الدومينيكية
97	الجمهورية العربية السورية
98	جمهورية كوريا
99	جمهورية كوريا الشعبية الديمقراطية
100	جمهورية الكونغو الديمقراطية
101	جمهورية لاو الديمقراطية الشعبية
102	جمهورية مقدونيا اليوغوسلافية سابقا
103	جمهورية مولدوفا
104	جنوب أفريقيا
105	جنوب السودان
106	جورجيا
107	جيبوتي
108	الدانمرك
109	دولة فلسطين
110	دومينيكا
111	رواندا
112	رومانيا
113	ريونيون
114	زامبيا
115	زمبابوي
116	ساموا
117	ساموا الأمريكية
118	سان بيار وميكلون
119	سان تومي وبرينسيبي
120	سان مارينو
121	سانت مارتن
122	سانت فنسنت وجزر غرينادين
123	سانت كيتس ونيفس
124	سانت لوسيا
125	سانت هيلانة
126	سري لانكا
127	السلفادور
128	سلوفاكيا
129	سلوفينيا
130	سنغافورة
131	السنغال
132	سوازيلند
133	السودان
134	سورينام
135	السويد
136	سويسرا
137	سيراليون
138	سيشيل
139	شيلي
140	الصحراء الغربية
141	صربيا
142	الصومال
143	الصين
144	طاجيكستان
145	العراق
146	عمان
147	غابون
148	غامبيا
149	غانا
150	غرينادا
151	غرينلند
152	غواتيمالا
153	غواديلوب
154	غوام
155	غيانا
156	غيانا الفرنسية
157	غينيا
158	غينيا الاستوائية
159	غينيا - بيساو
160	فانواتو
161	فرنسا
162	الفلبين
163	فنزويلا (جمهورية – البوليفارية)
164	فنلندا
165	فيجي
166	فييت نام
167	قبرص
168	قطر
169	قيرغيزستان
170	كابو فيردي
171	كازاخستان
172	كاليدونيا الجديدة
173	الكاميرون
174	الكرسي الرسولي
175	كرواتيا
176	كمبوديا
177	كندا
178	كوبا
179	كوت ديفوار
180	كوراساو
181	كوستاريكا
182	كولومبيا
183	الكونغو
184	الكويت
185	كيريباس
186	كينيا
187	لاتفيا
188	لبنان
189	لكسمبرغ
190	ليبريا
191	ليبيا
192	ليبيا (دولة –)
193	ليتوانيا
194	ليختنشتاين
195	ليسوتو
196	مارتينيك
197	مالطة
198	مالي
199	ماليزيا
200	مدغشقر
201	مصر
202	المغرب
203	مقدونيا الشمالية
204	المكسيك
205	ملاوي
206	ملديف
207	المملكة العربية السعودية
208	المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية
209	منطقة ماكاو الإدارية الخاصة التابعة للصين
210	منطقة هونغ كونغ الصينية الإدارية الخاصة
211	منغوليا
212	موريتانيا
213	موريشيوس
214	موزامبيق
215	موناكو
216	مونتسيرات
217	ميانمار
218	ميكرونيزيا (ولايات - الموحدة)
219	ناميبيا
220	ناورو
221	النرويج
222	النمسا
223	نيبال
224	النيجر
225	نيجيريا
226	نيكاراغوا
227	نيوزيلندا
228	نيوي
229	هايتي
230	الهند
231	هندوراس
232	هنغاريا
233	هولندا
234	الولايات المتحدة الأمريكية
235	اليابان
236	اليمن
237	اليونان
